Feature Id,Importances
data_channel,11.203815839174588
weekday,7.579310434514152
kw_avg_avg,6.639621522057808
self_reference_min_shares,4.964950516228192
kw_max_avg,4.910076217692974
kw_min_avg,4.805523955163449
self_reference_avg_sharess,4.483630653745689
LDA_00,3.94134063573063
LDA_01,2.9598049843147582
kw_max_max,2.773886159374116
n_unique_tokens,2.6373607570266677
feat_content_to_img_ratio,2.175285279197709
self_reference_max_shares,2.0889440114657463
LDA_04,2.0758554418786583
LDA_02,2.0028482168162984
num_imgs,1.9672226743844339
n_non_stop_unique_tokens,1.9415272811583886
LDA_03,1.7690692415150262
kw_avg_min,1.7185127437626302
kw_min_min,1.6411854554230982
n_tokens_content,1.6056651892090061
kw_avg_max,1.5644965057691675
global_subjectivity,1.5548645911772703
title_sentiment_polarity,1.5467461574781562
global_rate_negative_words,1.5380308033981869
min_positive_polarity,1.4745626182008276
num_hrefs,1.3068575844187218
kw_max_min,1.251449978479368
title_subjectivity,1.1019305836473574
average_token_length,1.085145690517524
n_tokens_title,1.0209841522971572
num_self_hrefs,0.9943117906576834
num_videos,0.9782328839212262
avg_positive_polarity,0.945671629171575
feat_content_to_href_ratio,0.9333224496662373
global_rate_positive_words,0.7887298067254096
global_sentiment_polarity,0.7761145506295477
num_keywords,0.6792442025751829
rate_positive_words,0.6598495568313133
feat_global_sentiment_strength,0.6550641197093721
abs_title_subjectivity,0.6169739355266577
kw_min_max,0.6043662127455459
avg_negative_polarity,0.5878655747983131
rate_negative_words,0.5100328558553322
min_negative_polarity,0.4463702661320366
abs_title_sentiment_polarity,0.26125294260490795
max_negative_polarity,0.17183911011610362
max_positive_polarity,0.06025223711577807
n_non_stop_words,0.0
