iter	Passed	Remaining
401	10402	9957	14750
403	9976	14717
404	9998	14689
405	10005	14638
406	10012	145406	10115	14738
407	10147	14723
408	10164	14687
409	10176	14644
410	10188	14601
411	10198	14554
412	10208	14509
413414	10134	14285
415	10150	14250
416	10160	14205
417	10187	14184
418	10196	14138
419	10203	140419420	10216	140420421	10242	140421422	10249	139422423	10255	139423424	10275	139424	10399	14070
425	10406	14022
426	10430	13997
427	10450	13966
428	10473	13940
429	10491	13907
430	10513	13879
431	10529	13844
432	10535	13795
433	10542	13749
434	10562	13718
435	10584	13691
436	10597	13652
437	10604	13606
438	10614	13564
439	10634	13534
440	10640	13487
441	10727	13542
442	10733	13495
443	10739	13448
444	10746	13402
445	10764	13370
446	10779	13336
447	10791	13296
448	10805	13260
449	10810	13213
450	10817	13168
451	10824	13123
452	10830	13077
453	10836	13031
454	10842	12987
455	10849	12943
456	10860	12904
457	10883	12879
458	10889	12835
459	10912	12809
460	10948	12800
461	10973	12779
462	10992	12749
463	11024	12735
464	11035	12696
465	11042	12654
466	11054	12617
467	11122	12643
468	11138	12610
469	11169	12595
470	11183	12560
471	11195	12524
472	11228	12510
473	11242	12475
474	11263	12449
475	11308	12449
476477	11244	12279
478	11263	12250
479	11271	122479480	11278	121480	11388	12288
481	11403	12255
482	11423	12227
483	11439	12195
484	11460	12169
485	11471	12131
486	11496	12110
487	11514	12081
488	11534	12053
489	11546	12018
490	11562	11986
491	11579	11955
492	11599	11929
493	11630	11912
494	11650	11885
495	11672	11860
496	11692	11834
497	11712	11806
498	11736	11783
499	11772	11772
500	11808	11761
501	11817	11723
502	11848	11706
503	11886	11697
504	11908	11672
505	11936	11653
506	11954	11624
507	12000	11622
508	12014	11589
509	12028	11557
510	12042	11523
511	12056	11491
512	12069	11457
513	12082	11424
514	12102	11397
515	12123	11371
516	12148	11349
517	12167	11322
518	12183	11291
519	12216	11276
520	12240	11253
521	12331	11291
522	12337	11252
523	12352	11220
524	12366	11188
525	12379	11155
526	12397	11126
527	12409	11093
528	12424	11061
529	12562	11140
530	12588	11118
531	12613	11096
532	12619	11057
533	12633	11024
534	12647	10993
535	12702	10996
536	12723	10969
537	12755	10953
538	12831	10974
539	12841	10939
540	12894	10940
541	12916	10914
542	12931	10883
543	12958	10862
544	12978	10835
545	12994	10805
546	13004	10770
547	13034	10751
548	13041	10713
549	13048	10676
550	13092	10668
551	13128	10655
552	13150	10629
553	13158	10593
554	13173	10562
555	13188	10532
556	13205	10503
557	13223	10474
558	13235	10441
559	13268	10424
560	13276	10389
561	13285	10354
