feature,importance_mean,importance_std
n_tokens_content,0.000984996054316678,0.0016240286288240187
num_hrefs,-0.00040378609321980454,0.0008395364928015413
num_self_hrefs,0.00046427760934912853,0.0014387296285595886
num_imgs,0.0011228307262418414,0.0006910555480234109
num_videos,0.0006960146310531323,0.0007690846855730176
kw_min_min,0.0047813694354158056,0.0024209544817915983
kw_max_min,0.00869146986291407,0.002659863747577706
kw_avg_min,0.0026176647985370004,0.0013158686958884215
kw_min_max,-0.0014576787826143579,0.0011053883557494292
kw_avg_max,0.0024571617493337693,0.0009702225070778994
kw_min_avg,0.0009926693962441168,0.00118501435473759
self_reference_min_shares,0.0010061598279757834,0.0010164550405622683
self_reference_max_shares,-8.991482617839441e-05,0.00014499530243738718
self_reference_avg_sharess,-9.20103691899543e-05,0.0018352371078257444
LDA_00,0.0005646547246266342,0.0011293767618718237
LDA_01,0.0018785286163698124,0.0008800563692817715
LDA_02,0.003312071741812428,0.001843838647814064
LDA_03,0.0041245444077243395,0.002423006339342292
LDA_04,-0.00020005797075166586,0.0009501273340596109
global_sentiment_polarity,0.0013735750737821294,0.0020443981049451973
global_rate_negative_words,0.0007619603816831688,0.0006850089801548062
min_positive_polarity,0.0008320295353385632,0.0012933089881959545
min_negative_polarity,0.0002074338746171911,0.000333858402215743
max_negative_polarity,0.011707694613718433,0.002805509086298319
title_subjectivity,0.0011539446260487418,0.001044919635147495
title_sentiment_polarity,0.0011880355633040241,0.002696671533560064
abs_title_subjectivity,0.0014717505562255484,0.0019362845712835772
abs_title_sentiment_polarity,0.000791471197002469,0.0008215771249853327
data_channel,0.016014303167051123,0.0032597063833067013
weekday,0.0006948272960225488,0.00033501647709973927
img_video_ratio,0.0,0.0
positive_to_negative,0.001102652184998032,0.0004275759606080291
abs_title_sentiment_diff,0.00048755976696923664,0.0005429991326968338
kw_avg_range,-0.00015378726265351527,0.0011334299111794577
self_share_range,0.0022492266975982834,0.0019274070700792422
lda_entropy,-0.0016276849938048122,0.0008931007921208882
feat_content_to_img_ratio,-0.0013032529349442435,0.0004402195829083878
feat_global_sentiment_strength,0.030040263088705575,0.0024767252522063
feat_content_to_href_ratio,0.012559690099108267,0.002289846486837198
