Feature Id,Importances
37,13.71763841104338
38,9.450007571957066
28,7.163758173821328
23,6.745497849107263
5,5.902734079979176
6,5.219433119284293
15,3.478173316688519
17,3.368840592030796
26,3.252637408631912
16,3.0630301383921066
25,2.7650999598009527
13,2.5500741144187913
7,2.5188816327670867
14,2.3496687162370953
27,2.3129331564851987
34,2.283043751966266
10,2.2780453658557
36,1.9047205002174314
24,1.6668677999884696
2,1.6403151596130674
18,1.5573597604090903
4,1.537254845967502
19,1.3722315216499503
35,1.3437077656147802
33,1.2907482351524215
9,1.2685424971631198
1,1.115530621052757
0,1.0674202058577402
21,0.9544697693758561
3,0.93520171100237
8,0.9141609248347513
11,0.8031274476970972
20,0.6576793619514129
29,0.46895226511452004
22,0.35063037776160005
31,0.32249946320286305
32,0.3047114521553806
12,0.1043709557509113
30,0.0
