feature,importance_mean,importance_std
n_tokens_title,0.003859555348633403,0.0016315605405832242
n_tokens_content,0.003647885494012004,0.001111831099996025
n_unique_tokens,0.005011366012938856,0.0008236941730172533
n_non_stop_words,0.0,0.0
n_non_stop_unique_tokens,0.0025289217110929353,0.002019797564183446
num_hrefs,0.0038863581162887463,0.0010556759112793003
num_self_hrefs,0.0037681101915010063,0.0008375380247917247
num_imgs,0.0025994653800137657,0.00041849480876078214
num_videos,0.00016062401572094486,0.0009090535845280628
average_token_length,0.00229792030577356,0.0007608863127322306
num_keywords,0.0011595000333521899,0.0008991447368043912
kw_min_min,-0.0019198509734592584,0.000690501375940947
kw_max_min,0.0029115923401999088,0.0019017821573148234
kw_avg_min,0.005162579556291824,0.002674308740276752
kw_min_max,0.0031512388503588617,0.0014069756461037768
kw_max_max,0.00816786510880787,0.0017584657613102983
kw_avg_max,0.0056396951745438795,0.001730705339356804
kw_min_avg,0.006806918567501263,0.0014118054461981456
kw_max_avg,0.005873579607921564,0.002219656140687222
kw_avg_avg,0.015528146850085457,0.0017819956065030947
self_reference_min_shares,0.013877931063000082,0.002502786310764718
self_reference_max_shares,0.004946853797211914,0.0012288271787691775
self_reference_avg_sharess,0.010799926122972914,0.0017549356225507074
LDA_00,0.004947408338198844,0.00158005536070533
LDA_01,0.006298623315001551,0.0015147129624869047
LDA_02,0.002308877741522064,0.0014871310862769104
LDA_03,0.0011597603116796583,0.001088896803940667
LDA_04,0.006398042146986316,0.0031566514515999947
global_subjectivity,0.0041354735451238685,0.001049102749311562
global_sentiment_polarity,0.0011597849396026926,0.0009280237030426811
global_rate_positive_words,0.0038653640584849435,0.001746054166894564
global_rate_negative_words,0.0013097203709904637,0.0014111986654206884
rate_positive_words,0.00016010089964411112,0.0005569449242447756
rate_negative_words,0.002188645655614674,0.0007830579085759938
avg_positive_polarity,0.0017893160168833244,0.0012402939217802597
min_positive_polarity,0.0014391072285264484,0.0004507064959947024
max_positive_polarity,0.0015890856382910767,0.0009309109969464021
avg_negative_polarity,0.0014992334410073526,0.001005658683014904
min_negative_polarity,0.0014590930777032885,0.0007613984235923418
max_negative_polarity,0.00024039727980069704,0.0015143981334838498
title_subjectivity,0.004529063355885166,0.0017026225888805498
title_sentiment_polarity,0.00424493182460779,0.0008080420626759178
abs_title_subjectivity,0.0030293941699264027,0.0009445028135974028
abs_title_sentiment_polarity,-0.00011928499083899702,0.000554822290106778
data_channel,0.02821159582212198,0.003108654111216033
weekday,0.01631273177473518,0.0030083154941353755
feat_content_to_img_ratio,0.00450277199780349,0.0007975118080616186
feat_global_sentiment_strength,0.0014894303142205967,0.0010700765400656544
feat_content_to_href_ratio,0.0029109091508811693,0.001440744558570125
