Feature Id,Importances
data_channel,7.955100354851926
weekday,5.772138505751527
kw_avg_avg,4.777816022678357
self_reference_min_shares,4.6831186613717755
kw_min_avg,4.671557512993052
kw_max_avg,3.385324563613583
self_reference_avg_sharess,3.351925958147036
LDA_00,3.1611642125671238
feat_content_to_img_ratio,3.1083022378776852
LDA_01,2.9670377208723386
n_unique_tokens,2.5316095871698545
LDA_04,2.5033915293368265
kw_max_max,2.4628338470215954
LDA_03,2.447958883524441
global_subjectivity,2.4194900789222236
num_hrefs,2.26124672308462
kw_avg_min,2.1644168002253834
feat_content_to_href_ratio,2.1094697881363293
self_reference_max_shares,2.078064140046436
kw_max_min,1.9737491658219417
LDA_02,1.7975570744048337
avg_positive_polarity,1.7632500272050349
kw_avg_max,1.7571325718953252
average_token_length,1.7556733512200184
min_positive_polarity,1.6961915327065256
n_tokens_content,1.6925309963155253
title_subjectivity,1.5279778700248938
n_non_stop_unique_tokens,1.5203673546216145
global_rate_positive_words,1.4677925411301727
global_rate_negative_words,1.466172715427751
title_sentiment_polarity,1.4561514442010548
n_tokens_title,1.3019780937799965
abs_title_subjectivity,1.2583324249668
kw_min_min,1.2154441196873154
num_imgs,1.1840947728143143
rate_negative_words,1.1469817588689268
rate_positive_words,1.1440707568319988
global_sentiment_polarity,1.0966423873864917
num_keywords,1.0829742043081994
avg_negative_polarity,1.0475730783610067
kw_min_max,0.8114039685595258
num_self_hrefs,0.804852431364468
feat_global_sentiment_strength,0.6545864140422295
max_negative_polarity,0.6185050585519981
min_negative_polarity,0.5952752127644753
num_videos,0.5630331061070009
abs_title_sentiment_polarity,0.4969805973946066
max_positive_polarity,0.2907578410438226
n_non_stop_words,0.0
